"","X","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
"1",43,"12/14/2007","I am Legend",1.5e+08,256393010,585532684,"Warner Bros.","PG-13","Horror"
"2",67,"02/12/2010","The Wolfman",1.5e+08,62189884,142634358,"Universal","R","Horror"
"3",233,"5/19/2017","Alien: Covenant",9.7e+07,74262031,238521247,"20th Century Fox","R","Horror"
"4",272,"08/04/2000","Hollow Man",9e+07,73209340,191200000,"Sony Pictures","R","Horror"
"5",287,"02/09/2001","Hannibal",8.7e+07,165092266,350100280,"MGM","R","Horror"
"6",349,"7/23/1999","The Haunting",8e+07,91188905,180188905,"Dreamworks SKG","PG-13","Horror"
"7",386,"8/20/2004","Exorcist: The Beginning",7.8e+07,41814863,43957541,"Warner Bros.","R","Horror"
"8",429,"2/13/1998","Sphere",7.3e+07,37068294,50168294,"Warner Bros.","PG-13","Horror"
"9",452,"11/19/1999","Sleepy Hollow",7e+07,101068340,207068340,"Paramount Pictures","R","Horror"
"10",454,"8/13/2004","AVP: Alien Vs. Predator",7e+07,80281096,172543519,"20th Century Fox","PG-13","Horror"
"11",475,"10/21/2005","Doom",7e+07,28212337,54612337,"Universal","R","Horror"
"12",497,"6/22/2012","Abraham Lincoln: Vampire Hunter",67500000,37519139,137489730,"20th Century Fox","R","Horror"
"13",613,"01/10/1997","The Relic",6e+07,33956608,33956608,"Paramount Pictures","R","Horror"
"14",622,"8/15/1997","Event Horizon",6e+07,26673242,26673242,"Paramount Pictures","R","Horror"
"15",640,"10/16/2015","Goosebumps",5.8e+07,80069458,158905324,"Sony Pictures","PG","Horror"
"16",646,"09/10/2010","Resident Evil: Afterlife",57500000,60128566,295874190,"Sony Pictures","R","Horror"
"17",696,"10/16/2015","Crimson Peak",5.5e+07,31090320,75466595,"Universal","R","Horror"
"18",717,"04/06/2007","Grindhouse",5.3e+07,25031037,50187789,"Weinstein/Dimension","R","Horror"
"19",748,"3/18/2005","The Ring Two",5e+07,75941727,161941727,"Dreamworks SKG","PG-13","Horror"
"20",763,"09/10/2004","Resident Evil: Apocalypse",5e+07,50740078,125168734,"Sony Pictures","R","Horror"
"21",767,"4/21/2006","Silent Hill",5e+07,46982632,94704227,"Sony Pictures","R","Horror"
"22",791,"9/30/2011","Dream House",5e+07,21302340,41642166,"Universal","PG-13","Horror"
"23",811,"10/18/2002","The Ring",4.8e+07,129094024,248218486,"Dreamworks SKG","PG-13","Horror"
"24",853,"04/11/1997","Anaconda",4.5e+07,65598907,136998907,"Sony Pictures","PG-13","Horror"
"25",873,"11/04/1994","Frankenstein",4.5e+07,22006296,112006296,"Sony Pictures","R","Horror"
"26",932,"02/04/2000","Scream 3",4e+07,89138076,161838076,"Miramax","R","Horror"
"27",935,"11/13/1992","Bram Stoker's Dracula",4e+07,82522790,215862692,"Sony Pictures","R","Horror"
"28",947,"8/28/2009","The Final Destination",4e+07,66477700,187384627,"Warner Bros.","R","Horror"
"29",950,"11/21/2003","Gothika",4e+07,59588068,141484812,"Warner Bros.","R","Horror"
"30",964,"08/12/2005","The Skeleton Key",4e+07,47907715,92256918,"Universal","PG-13","Horror"
"31",970,"08/12/2011","Final Destination 5",4e+07,42587643,155011165,"Warner Bros.","R","Horror"
"32",974,"4/15/2011","Scream 4",4e+07,38180928,95989590,"Weinstein/Dimension","R","Horror"
"33",997,"04/05/2007","The Reaping",4e+07,25126214,62226214,"Warner Bros.","R","Horror"
"34",1016,"8/30/2002","FearDotCom",4e+07,13208023,13208023,"Warner Bros.","R","Horror"
"35",1019,"9/25/2009","Pandorum",4e+07,10330853,17033431,"Overture Films","R","Horror"
"36",1069,"1/28/2011","The Rite",3.7e+07,33047633,97143987,"Warner Bros.","PG-13","Horror"
"37",1091,"09/08/2017","It",3.5e+07,327481748,697459228,"Warner Bros.","R","Horror"
"38",1125,"3/15/2002","Resident Evil",3.5e+07,40119709,103787401,"Sony Pictures","R","Horror"
"39",1136,"05/06/2005","House of Wax",3.5e+07,32064800,70064800,"Warner Bros.","R","Horror"
"40",1138,"8/15/2008","Mirrors",3.5e+07,30691439,77220596,"20th Century Fox","R","Horror"
